	road_name
0	Rue des Bains 28-34
1	Av. de la Gare-des- Eaux-Vives 2-10
2	Chemin du Stade 5-3
3	Route de Pré-Marais
4	Chemin des Champs-de-Chaux 4-16
5	Avenue de Bel-Air
6	Avenue Henri-Bordier 51-11
7	Avenue de la Foretaille
8	Rue Michel-Chauvet 2-12
9	Chemin des Mattines
10	Route de Pré-Bois
11	Route de Vernier
12	Route de Bourdigny 41-23
13	Rue du Levant 3
14	Avenue Henri-Dunant
15	:ERROR STATUS: NOT_FOUND
16	Route des Jeunes
17	Avenue de Sainte-Clotilde 18-22
18	Rue du Grand-Pré 49-47
19	Chemin Louis-Dunant
20	Rue Firmin-Massot 2-4
21	:ERROR STATUS: NOT_FOUND
22	Rue de Chantepoulet 13-1
23	Avenue Adrien-Jeandin 1
24	Chemin des Colombettes 2-18
25	Route de Sauverny
26	Rue de Genève 121-115
27	Route de Lausanne 312
28	Route de Chancy 59-57
29	Rue Dancet 22
30	Route de Thonon 254
31	Route de Saint-Julien 148-150
32	Route de Sous-Moulin
33	Route de Saint-Julien
34	Route de Corsinge 2-14
35	Rue du Temple
36	Avenue de la Roseraie
37	Route de Thonon
38	Route de Ferney 224
39	Avenue Tronchet 4-8
40	Unnamed Road
41	Avenue Vibert
42	Rue de l'Athénée
43	Route du Merley 16-20
44	Quai Wilson
45	Rue du 31 Décembre 7-1
46	Avenue Wendt 38-46
47	Route Moulin-de-la-Ratte
48	Unnamed Road
49	Route du Crêt-de-Choully 6-16
50	Place des Charmilles
51	Rue François-Dussaud
52	Route du Grand-Lancy 7
53	Rue Jean-Ant.-Gautier 18
54	:ERROR STATUS: NOT_FOUND
55	A1a
56	Rue des Pâquis 28-50
57	Boulevard du Pont-d'Arve 29-21
58	Rue de Lancy 3
59	Rue du Rhône 65-63
60	Voie Centrale
61	Square Pradier
62	Rue du Rhône
63	Rue de Montbrillant
64	Unnamed Road
65	Route du Grand-Lancy 93-91
66	Route de Vernier 137
67	Route de Mon-Idée 165-151
68	Route du Mandement
69	Pont du Mont-Blanc
70	Avenue Louis-Casaï
71	Avenue de Miremont 35-27
72	Rue de la Colline
73	Rue Liotard 62-78
74	Rue de l'Ecole-de-Médecine 13
75	Avenue de Frontenex 32
76	Unnamed Road
77	Route de Saint-Julien
78	Route de Saint-Julien 265-271
79	:ERROR STATUS: NOT_FOUND
80	:ERROR STATUS: NOT_FOUND
81	Rue Charles-Humbert 5-9
82	Quai du Mont-Blanc 19
83	Quai du Mont-Blanc 25-21
84	Chemin du Champ-des-Filles 6-12
85	Pont du Mont-Blanc
86	Rampe de la Gare 2-6
87	:ERROR STATUS: NOT_FOUND
88	Route des Fayards 35-33
89	Route de Vernier 92-94
90	Route de Malagnou 94-98
91	E62
92	Route de Ferney 201-197
93	Quai Gustave-Ador 38-42
94	Unnamed Road
95	Chemin de l'Ancien-Péage 2-12
96	Avenue Henri-Dunant
97	Boulevard du Pont-d'Arve 39-31
98	Rue Jean-Simonet
99	Quai du Mont-Blanc 14
100	Rue de Lyon 112
101	Place de l'Octroi
102	Chemin des Princes 22
103	Route d'Aire-la-Ville 132
104	Rue des Alpes 18
105	Saint-Jean - Charmilles
106	Rue de Saint-Jean 12-22
107	Rue François-Jacquier
108	Rue Tronchin 2-10
109	Avenue du Mail 24
110	Chemin de la Chevillarde 9
111	Pâquis-Nations
112	Avenue Henri-Golay 4-8
113	:ERROR STATUS: NOT_FOUND
114	Rue François-Dussaud 8
115	Avenue de Mategnin
116	Route du Grand-Lancy
117	Quai de Cologny
118	Route de Chancy 179-175
119	Square Clair-Matin
120	Rue des Eaux-Vives 12
121	Chemin des Grands-Bois
122	Route de Vernier
123	Route de Chancy 79-61
124	Route de Chêne 103-97
125	Route des Jeunes
126	Route de Thonon 254
127	Route de Thonon
128	Place de l'Etoile
129	Rue du Temple
130	E62
131	Quai Gustave-Ador 22
132	Chemin du Bac 20-28
133	Tranchée Couverte d'Arare
134	Clos-Belmont 8-2
135	Rue Barton 7
136	:ERROR STATUS: NOT_FOUND
137	Unnamed Road
138	Route de l'Usine-à-Gaz 10-16
139	Place Bordier
140	Rue Gaudy-Le-Fort 23-3
141	Rue des Gares 4
142	Rue de Bandol
143	Rue du Tir 4
144	Route de Thonon 146-154
145	Route de Chancy
146	Route de Chancy 86
147	Route de Chêne 16
148	Route des Franchises
149	Rue des Deux-Ponts 2-4
150	Rue du Collège
151	Boulevard Georges-Favon 27-23
152	Avenue des Communes-Réunies 60
153	Chemin du Pont-de-Ville 11-7
154	Rue Hoffmann 5-3
155	Avenue de Vaudagne 16-20
156	Route de Florissant 81
157	Chemin du Pont-du-Centenaire
158	Centre-Plainpalais-Acacias
159	E62
160	Pâquis-Nations
161	Rue Guillaume-Tell 6
162	Chemin de Pinchat 19-11
163	Pont du Mont-Blanc
164	Route de Ferney 177
165	Avenue du Lignon
166	Champel
167	Route de Pré-Bois
168	Route de Peney 2
169	Rue Du-Roveray 2-14
170	Rue des Ronzades
171	Rue du Rhône 19
172	Route de Saint-Julien 34-44
173	A1a
174	Route de Suisse 106
175	Chemin du Saut-du-Loup 2
176	Route de Presinge
177	Unnamed Road
178	Rue du Léman 7-1
179	Rue Emile-Yung 4-10
180	Chemin du Champ-Bollet 17-3
181	Rue de l'Aubépine 11-7
182	Pâquis-Nations
183	Avenue de Miremont 12-24
184	Rue du Collège
185	Unnamed Road
186	Rue de la Rôtisserie 21-19
187	Pâquis-Nations
188	Route de Peney
189	Rue Ancienne 71-51
190	Rue du Général-Dufour 10-12
191	Rue du Stand 35-27
192	Rue de Lyon 75
193	Route de Frontenex
194	E62
195	E62
196	E62
197	Rue de Jargonnant 5-1
198	Route Douanière
199	Avenue de Miremont 35-27
200	Pont du Mont-Blanc
201	Chemin de Saint-Maurice
202	Route de Saint-Julien 121-119
203	Quai du Mont-Blanc
204	Chemin de la Caroline 12-18
205	Unnamed Road
206	:ERROR STATUS: NOT_FOUND
207	Route du Grand-Lancy 110
208	Route de Thonon 349-345
209	Route de Chancy 167
210	Rue de la Croix-Rouge
211	Chemin du Clos 19
212	Pâquis-Nations
213	Pont du Mont-Blanc
214	E62
215	Tranchée Couverte de Chèvres
216	Satigny
217	Rue des Deux-Ponts 16
218	Quai Gustave-Ador
219	Quai du Général-Guisan 28
220	Avenue des Grandes-Communes 8
221	Rue de la Scie 2
222	Quai du Général-Guisan 40-42
223	Boulevard des Promenades
224	Unnamed Road
225	Chemin de la Bise
226	Avenue du Devin-du-Village 17-9
227	Rue François-Diday
228	Route de Verbois 42
229	Route de Saint-Julien
230	Route de Saint-Julien 18-24
231	Route de Meyrin 148
232	Route des Batailleux
233	Route de Pré-Bois
234	:ERROR STATUS: NOT_FOUND
235	Route de Ferney
236	Route du Bois-des-Frères
237	Route des Acacias 18-8
238	Avenue Louis-Casaï 70
239	Rue Jacques-Grosselin
240	Place des Casemates
241	Chemin de Pinchat
242	Chemin de la Gradelle 35-11
243	Chemin Malombré 5-1
244	Avenue William-Favre 10-16
245	Rue François-Le-Fort
246	Route de Villette 63-55
247	Chemin de la Colline 37
248	Place Sigismond
249	Rue de Carouge 51-47
250	Boulevard James-Fazy
251	Tranchée Couverte d'Arare
252	Chemin du Gué
253	Rue de la Terrassière 14-22
254	Rue Michel-Simon
255	Rue de la Rôtisserie 6-8
256	Quai Gustave-Ador
257	Quai Ernest-Ansermet
258	Rue des Lattes 60-62
259	Rue du Vieux-Moulin
260	Avenue du Mail 24
261	Avenue de Champel 45-49
262	Boulevard du Pont-d'Arve 39-31
263	Route du Bois-des-Frères
264	Route de Laconnex
265	Rue de Chantepoulet 8-12
266	Rue François-Bonivard 8-12
267	Pregny-Chambésy
268	Route de Peney
269	Rue Marie-Brechbuhl 7
270	Centre-Plainpalais-Acacias
271	Rue Gilbert 12
272	Quai Wilson
273	Rue des Deux-Ponts 2-4
274	Route des Acacias 20
275	Rue Ferdinand-Hodler
276	Avenue A.-M.-Mirany 36
277	Unnamed Road
278	Rue Le-Royer 25-13
279	Route de Chêne
280	Boulevard Georges-Favon 27-23
281	Route du Grand-Lancy
282	Route de Meyrin 70
283	Route de Vernier
284	L'Ancienne-Route
285	Avenue Auguste-François-Dubois 37-31
286	Avenue Louis-Casaï
287	Avenue de Thônex
288	Route de Saint-Julien 129-127
289	Route du Pont Butin
290	Quai Gustave-Ador
291	Avenue de Baptista
292	Rue du Trabli 8-16
293	E62
294	Rue Joseph-Pasquier
295	Place de Cornavin 10-22
296	Cours de Rive 10-16
297	Avenue Sainte-Cécile
298	La Voie-Creuse 3
299	Route de Malagnou
300	Rue de Montbrillant
301	Route de Ferney
302	Rue des Alpes 22-24
303	Rue du 31 Décembre 27-17
304	Route de l'Allondon 27-9
305	Avenue de la Praille 41-33
306	Rue de Genève 75-67
307	Quai du Mont-Blanc 19
308	Rue François-Versonnex 8
309	Rue Faller
310	Boulevard des Philosophes 17
311	Chemin Edouard-Sarasin 1
312	Rue Emile-Nicolet 7
313	Avenue de Bel-Air 70-86
314	Quai du Mont-Blanc 14
315	Rue François-Versonnex 7
316	Avenue De-Luserna 15-13
317	E62
318	Route de Ferney
319	Unnamed Road
320	Rue des Charmilles 11-7
321	Chemin des Chèvres
322	Quai Wilson
323	Quai Wilson
324	Boulevard Carl-Vogt 101
325	Avenue Henri-Dunant
326	Avenue de Bel-Air
327	Route du Bois-de-Bay
328	Quai du Mont-Blanc
329	Chemin du Pré-du-Camp 12-2
330	Rue Docteur-Alfred-Vincent 14-20
331	Chemin de la Tulette
332	Avenue Théodore-Weber 7-3
333	Tunnel de Vernier
334	Avenue de l'Amandolier 27-19
335	Quai Gustave-Ador
336	Place du Petit-Saconnex
337	Chemin de Beau-Soleil
338	Rue de la Cloche
339	Chemin de Chambésy
340	Square Pradier
341	Chemin des Tanquons 40-44
342	Route de Monniaz
343	Route de Sous-Moulin 59-49
344	Route de Vandœuvres 8
345	Route de Saint-Julien 183-181
346	Route de la Capite 190
347	Unnamed Road
348	Boulevard Carl-Vogt 43-31
349	Route de Thonon 125-123
350	Route d'Aire-la-Ville
351	Route de Saint-Julien 259-255
352	Route de Saint-Georges
353	A1a
354	Tunnel de Vernier
355	Boulevard du Pont-d'Arve 39-31
356	Rue Joseph-Girard 18-22
357	E62
358	Grottes - Saint-Gervais
359	Route de Gratillet
360	Unnamed Road
361	Route de Cornière 49-15
362	Route de Malagnou
363	Rue François-Versonnex 5-3
364	Rue de Saint-Jean 43-29
365	Boulevard Georges-Favon 29
366	Chemin des Fours
367	Rue de Frémis
368	Route des Acacias 49
369	Route des Batailleux 40
370	Rue des Alpes 22-24
371	Rue Terreaux-du-Temple 4-6
372	Rue Lombard 16
373	Rue du Mont-Blanc
374	Rue du Mont-Blanc
375	Rue Du-Roveray 2-14
376	Route de Saint-Julien
377	Rue de Montchoisy 7-3
378	Avenue de la Martinière 13-3
379	Pregny-Chambésy
380	Avenue Louis-Casaï
381	Rue des Deux-Ponts 2-4
382	Rue de l'Hôtel-de-Ville 9
383	Place Bordier
384	Rue Lombard
385	Rue de Lyon 67-61
386	Chemin de Poussy 1-3
387	Boulevard Georges-Favon 15
388	Chemin de la Salésienne
389	Route de Saint-Julien
390	Boulevard Carl-Vogt 17-15
391	Route de Thonon 153
392	E62
393	Rue de l'Ecole-de-Médecine
394	Quai Ernest-Ansermet 36-42
395	Rue du Vidollet 27
396	Route de Malagnou 151-145
397	Quai Gustave-Ador
398	Rue Pierre-Fatio 1
399	Rue de la Madeleine 13-11
400	Rue de Villereuse 2
