	Risk_NB_ACC	Risk_NB_PIETONS	Risk_NB_VOITURES_TOURISME	Risk_MOTOS	Risk_BIKES	Risk_INJURY	Risk_GRAVE_INJURY	Risk_PUBLIC_TRANSP	Risk_DRIVEN_BY_EMPLOYEES
avenue de france	1.677022768721367	1.6592325071888263	1.7750239627550322	1.7131120283249544	1.516682641836688	1.7750239627550322	1.1550047925510065	1.910584691222785	3.4733214660641742
avenue de la paix	2.342909859438164	1.0	2.806056351510897	1.0	2.9866619866619866	2.1037011037011037	1.3973323973323972	3.334152334152334	2.585000585000585
avenue de thonex	2.1165686628537004	2.0606686494822646	1.906887780648521	3.2947156390646146	1.4156568994639054	1.692761499106509	1.2493941396783432	2.4650804141881473	3.984578100903283
avenue des communes reunies	1.9203423094944951	1.0	2.7392105950497028	1.8801516212366305	1.6377105515182242	1.4251403676788161	1.0	1.0	1.7631682722100164
avenue du mail	1.2740943485493947	1.0	1.3320183607326697	1.4200562302675546	1.1521750820024734	1.304350164004947	1.0	1.5363768349733826	1.7284508254019466
avenue eugene lance	2.379915269300276	1.0	2.390663390663391	1.0	2.01981981981982	1.67987987987988	1.6118918918918919	1.0	3.440900900900901
avenue henri dunant	1.6007828856614772	2.9296092184368736	1.6186919293131719	3.087317492127111	1.0	1.5041193498107326	1.1512358049432199	2.77688710754843	3.4131819193943445
avenue louis aubert	1.0859595601729615	1.0	1.204204962613535	1.0	1.0	1.06239596079858	1.1123127294374442	1.0	1.0
avenue louis casai	1.5141774910597139	1.3603574101796407	1.8087915078933043	1.7796193327630454	1.0	1.3295076513639388	1.0847305389221558	1.497754491017964	2.013997005988024
avenue louis pictet	1.0585317109790333	1.0	1.1210268033742101	1.0	1.0	1.0739608242842396	1.0	1.0	2.062134932768827
avenue pictet de rochemont	1.1796039261544378	1.0	1.361407317540387	1.0	1.361407317540387	1.1606254744623943	1.1445629270161548	1.0	1.0
avenue wendt	1.424313834816253	1.7344584286803966	1.5494764579432772	1.7944862155388472	1.0	1.3837613357064158	1.172692601067887	1.0	1.0
boulevard georges favon	1.5231835806393597	2.3104797550187137	1.770330044232732	1.7087930783065182	1.385165022116366	1.5135533628218214	1.1540660088465464	3.2626743790404897	2.8437563797209933
boulevard james fazy	1.2158909465289736	1.3571229879089088	1.2290091779002097	1.772621785157947	1.1399500531612392	1.2799001063224786	1.1679400637934871	1.0	1.6699305194965754
chemin de la seymaz	1.0632987841229522	1.0	1.0	2.281460911136108	1.0	1.0	1.0	1.0	2.1111384514435696
chemin de pinchat	1.323220158755706	3.688843898352415	1.4310629331573201	1.0	1.0	1.3512364640541128	1.0	1.0	1.0
chemin des mattines	1.0702030767568296	1.0	1.2693955259400287	1.0	1.0	1.329261198371146	1.0	1.0	1.0
chemin des palettes	1.080645325675453	1.6873750713877784	1.2203935413529932	1.0	1.0	1.0897899612919602	1.1616219303255282	1.0	1.0
chemin du bois brule	1.2379781855567145	1.0	1.828042250636393	1.0	1.0	1.0	1.0	1.0	1.0
pont de la coulouvreniere	1.1283856748194179	1.0	1.2434181760839491	1.821234273098974	1.1487555520513022	1.1487555520513022	1.0	1.0	1.0
pont des acacias	1.0229612971442252	1.0	1.0793622973001396	1.0	1.0	1.242495908417093	1.2618955810904604	1.0	1.348242975758978
pont du mont blanc	1.1965724032929377	1.0	1.4315158525684841	1.301206312484508	1.0	1.1091189512242143	1.0327356853672642	1.0	1.5223443223443223
pont du val darve	1.0	1.0	1.0524671616748704	1.0	1.0	1.0641265309359529	1.0	1.0	1.0
quai du general guisan	1.5089648719516735	1.242757916498588	1.8821372254208075	1.0	1.0	1.1585540764645241	1.1141589350544574	1.3353166599435256	2.3661758773699075
quai du mont blanc	1.8011929894877925	1.2990852332732807	2.502369159696612	1.0	1.1172061046571824	1.3906870155239417	1.0	1.0	1.2805284628605744
quai ernest ansermet	1.5767948954779287	1.0	1.4160464560707133	2.0527303704987148	1.3813759180648204	1.5085012240864273	1.2288255508388923	1.0	1.0
quai gustave ador	2.1354333078640497	3.3757744818510798	2.32600265180592	2.4277489699685115	1.7241291077238001	2.172399507743296	1.1862046277004057	1.729246627919728	1.7427897795810945
quai wilson	1.2935991256461037	1.5705587817018252	1.6707750651813227	1.0	1.1117958441968872	1.3353875325906612	1.0	1.0	1.0
rampe de cologny	1.6437415552905055	1.0	1.4838985465944714	2.6325570980743396	1.5914315569487982	1.5914315569487982	1.354858934169279	1.0	2.415569487983281
rampe quidort	1.148087364100659	1.0	1.1129627781658518	1.0	1.0	1.0	1.0	1.0	1.0
route blanche	1.0501772745305622	1.0	1.0556205225970656	1.5629507234739102	1.0	1.0	1.0	1.0	1.0
route de base	1.2291181683493104	1.7504871395167576	1.3208389428186778	1.0	1.0	1.2941023642504548	1.0	1.0	1.0
route de bellegarde	1.2916520135340304	1.0	1.262724255575928	1.0	1.0	1.0	1.0	1.0	1.0
route de certoux	1.1983088451180022	3.66429164360819	1.2847512200030184	3.882046011542414	1.0	1.3480292688925783	1.6264526840066407	1.0	1.0
route de chancy	3.6188859359747245	1.8109103924541015	4.986708928598772	5.385933251521933	2.2711245859300435	3.7541032695150935	1.9533434394475324	3.24018864746505	5.563584301835944
route de chene	3.111501222575085	2.969338014725934	4.2273099139747625	3.8403911332735983	2.543496045814017	2.629245826137018	1.463048813744205	5.533678756476684	5.92573402417962
route de colovrex	1.2999245304707177	1.0	1.1345920623974508	1.0	1.0	1.0	1.0	1.0	2.181184061382858
route de corniere	1.868481527872628	1.0	2.6046116046116046	1.0	1.0	1.6537306537306538	1.0	1.0	1.0
route de covery	1.5756661038813142	1.0	1.726759116589625	1.0	1.0	1.0	1.0	1.0	4.189030131826742
route de ferney	1.7806721688851734	1.0	2.1683227514733936	2.631023220437564	1.1477189685770957	1.590875874308383	1.0886313811462573	1.5206702160977137	3.121359223300971
route de florissant	1.7558922558812178	1.7977423363711682	1.8526022444829404	2.7258847200852174	1.0	1.6252416459541563	1.3751449875724937	2.1019055509527753	2.4964926815796744
route de frontenex	1.4665237978788026	1.7004765022552015	1.5989180323532135	3.273180769470599	1.2745040981618896	1.5490081963237792	1.1647024588971338	1.0	1.0
route de gy	1.3582207996133921	1.0	1.944120100083403	1.0	1.0	1.5769622833843018	1.0	1.0	1.0
route de jussy	1.4202825990365946	2.3900986525505292	1.3466620001749936	2.5037123607864706	1.0	1.4236980002138808	1.1089509143407121	1.0	1.8692332370869424
route de juvigny	1.8090166162461312	1.0	1.5000441735135612	1.0	1.0	2.2223302019220386	2.1000971817298346	1.0	5.388402980239715
route de la capite	1.4919022283442418	1.0	1.7334184854038246	2.0604473921517292	1.3841715875924794	1.2561143917283197	1.0	1.0	1.0
route de la galaise	1.0799684360460116	1.0	1.097424113328686	1.0	1.0	1.2381478325812323	1.1071665246615545	1.0	1.4274985010571493
route de lausanne	1.4264706478976659	1.0	1.6702890978753047	1.7981390257252325	1.0	1.144572158365262	1.0	1.0	1.3460280970625798
route de malagnou	2.029384891320229	1.8829395402860984	2.352576998744012	2.5918379822891375	1.3460080694461425	1.8842428441401422	1.6228145250030566	1.0	1.5521049843094104
route de meyrin	3.0629451189965273	3.487681774562634	4.1525262218404615	4.459859325733689	1.6963411333382545	2.810486946679462	1.4178046800029527	4.927068723702664	6.0
route de mon idee	1.680631847616929	2.7667431192660548	2.227356130108424	1.0	1.692354740061162	1.8077471967380223	1.0	1.0	1.0
route de monniaz	1.60312004699071	1.0	2.328104049342987	1.0	1.0	2.623238282530318	1.8348082595870205	1.0	1.0
route de pierre grand	1.1371055622403663	1.0	1.2130623000188216	1.0	1.0	1.0	1.0	1.0	1.0
route de pre bois	1.960435943624575	1.7344584286803966	3.2764024686221482	1.7944862155388472	1.287821001779812	1.3837613357064158	1.0	1.0	1.0
route de rougemont	1.2303620493677052	1.0	1.6445918628818723	4.262046440875128	1.0	1.0	1.0	1.0	1.0
route de saint julien	3.2145938342024025	2.32063502948841	4.4580616201793	6.0	1.2587665157957297	2.8113656105701095	1.5434096831710327	1.4560416952407076	4.71608832807571
route de sauverny	1.5036277797523157	1.0	2.0706314077100596	1.0	1.0	1.261709899662459	1.471077819392426	1.0	1.0
route de sezegnin	1.618779577078486	1.0	1.7772589947816533	1.0	1.0	1.9499832158442432	1.0	1.0	1.0
route de soral	1.472164980670835	1.0	2.05966995640429	4.064346656579666	1.5550652152593898	2.2951521689385768	1.9991173874669022	1.0	1.0
route de sous moulin	2.3482885527320754	2.2722978329809727	2.223813184701134	2.3762836001208094	1.0	1.8309842612168195	1.5983086680761098	1.0	5.773431994362227
route de suisse	1.994012908390689	1.4743693959996058	2.1660799541378912	2.539419788015709	1.1858968042828522	1.4337592099933218	1.1115380825697112	1.655236969159523	2.3348113114592572
route de thonon	1.9683182739835534	1.0	2.62179917253718	2.601432085749429	1.5801558015580155	1.6768484351510182	1.6091635916359164	1.0	1.3471453464534646
route de valleiry	1.9530151733791445	1.0	1.8765680656651695	1.0	1.0	1.3571203230487727	1.642816581487791	1.0	3.564262729509749
route de vandoeuvres	1.3271042575609004	1.0	1.4356124742172829	1.8817909148081853	1.0	1.3194491477593409	1.1916694886556045	1.0	1.0
route de verbois	2.153257133894841	1.0	2.403305785123967	5.734415584415585	1.0	1.5717171717171718	2.0290909090909093	1.0	1.0
route de vernier	1.757878016460933	1.4091594781795775	2.20256660859219	2.1065009014696687	1.2405133217184379	1.6413688579158345	1.336718650405813	1.2825819062592956	2.9188657063131207
route de veyrier	1.8840683006899959	1.0	1.9325699221485357	2.5731331046238157	1.284951920656497	1.7598717884173256	1.3419423047877963	1.0	2.3640436993404825
route des acacias	1.6640579279062815	2.1098144306131856	1.9489081688251813	2.2005203187775804	1.4349162440448748	1.5798883253931664	1.3914246196403872	1.0	1.0
route des batailleux	1.0525446924462898	1.0	1.0570070301955965	1.0	1.0	1.0	1.0	1.0	1.0
route des fayards	1.5830133126660828	1.9829267047774604	1.735365084078845	1.0	1.0	1.7703824690349803	1.6933442221314823	1.0	1.0
route des franchises	1.177367333289763	1.0	1.173481272604671	1.8779260186879876	1.0	1.2120326665168202	1.1908293998651382	2.1210384356035066	1.7612384805574286
route des jeunes	2.1634316574131924	1.0	2.489708901405485	2.507775663826619	1.2731132985910056	1.5462265971820113	1.1638679791546034	1.9626519976838446	3.6147461879945952
route du bois des freres	1.9712865260117904	1.0	2.9835985140534103	2.338436685391196	1.0	1.4848796367686115	1.0	1.0	2.160541420371798
route du camp	1.1680904656956292	1.0	1.2493556842963192	2.2618989926961817	1.4571520878765851	1.3047680585843902	1.5485825054519022	1.0	1.0
route du grand lancy	2.109954116631496	1.0	2.2962262272229412	1.0	1.8265790434465132	2.23986856516977	1.495947426067908	1.0	1.494596568090544
route du mandement	6.0	1.0	6.0	1.0	6.0	6.0	6.0	1.0	1.0
route du nant davril	1.3685058750892196	1.0	1.7564175210888138	1.0	1.0	1.2588628849948384	1.1331294837116312	1.0	2.3276686659610335
route du pont butin	1.588562827030313	1.289221134206416	1.8345985385514403	1.6257187483908617	1.3400216268172533	1.4911423498471439	1.2720173014538028	1.3994953742640874	2.3563819135728306
route du pont de la fin	1.0420393780068402	1.0	1.1017089255871624	1.0	1.0	1.1243109090509762	1.0	1.0	1.0
route du val darve	1.3305184911198844	1.0	1.479576345984113	1.0	1.0	1.293074433656958	1.263766990291262	1.0	2.0521941747572816
route francois peyrot	1.0580840511791865	1.0	1.1807536725569512	1.0	1.0	1.0	1.0	1.0	1.0
rue de chantepoulet	1.2464925150748225	1.870644704322141	1.2171208741827826	1.0	1.113729981714791	1.3411899451443727	1.0	1.40086804509012	1.8166254747121586
rue de chene bougeries	1.2179687152369285	1.0	1.1846675874669654	1.0	1.677114487378873	1.150469886084194	1.1354228974757745	1.0	1.0
rue de geneve	2.771799313651455	4.61983082706767	3.5146958304853047	1.978920515574651	1.7092731829573935	1.827485380116959	1.4255639097744361	6.0	5.244047619047619
rue de la servette	1.9817071781441833	6.0	1.9351728370292567	1.6760816750431187	1.7347786576658444	2.0613469499617754	1.2939114630663378	3.589900038945865	2.7586654550175256
rue de lyon	2.4935219045744126	2.053704311665572	2.7455580095107344	2.1398242816496262	1.6193915517618733	2.1699618199946498	1.4955132414094987	1.7277303567520246	3.4708178303056836
rue de saint jean	1.0420050636861928	1.9512695119541592	1.1016687323741265	1.343005805365023	1.0	1.1656823786837618	1.0	1.0	1.0
rue des alpes	1.3554667189072116	1.0	1.6563677780078692	1.9490400260331922	1.0	1.0573019488737028	1.0	1.0	1.82290053151101
rue des charmilles	1.4471275415740539	1.0	1.4938846148252642	1.833123843042256	1.0	1.3018183757265505	1.0	1.0	1.7223910840932117
rue francois dussaud	1.2464135211998355	1.0	1.227398278442362	1.0	1.6253452657164953	1.2084484219054985	1.125069053143299	1.0	1.9978271277575224
rue gabrielle perret gentil	1.2383731173946302	2.034459604641169	1.4422393249208891	1.0	1.0	1.1351286826147162	1.0	1.0	1.0
rue hoffmann	1.4286765443673448	1.0	1.6655039291383331	1.0	1.0	1.2711312303896913	1.0	1.0	1.4867069052238269
rue lombard	1.4575340941313484	1.0	1.5883881698632987	1.0	1.269677911187345	1.3595705482497935	1.3236134934248143	1.9505431675242995	2.2909281494187157
rue voltaire	1.2781216660068901	1.8847514472112468	1.3782379524362434	1.4785313923419225	1.0	1.5200771845998347	1.0	1.0	1.4149284817299153
voie centrale	1.5760419119456825	1.0	1.934970541269754	1.0	1.0	1.5078852322946812	1.457096709065213	3.6852412679184336	2.8234066895484218
